Class Name,Class Type,Available,Demand,Schedule
AI 201 WXYZ,1,15,0,W 3-6PM lec TBA
AI 211 SQRU,1,16,0,S 8-11AM lec TBA
AI 212 SWX,1,25,0,S 2-5PM lec IDEA LAB
AI 221 SQRU,1,25,0,S 8-11AM lec TBA
ARM 211 TLNO1,1,10,0,T 4-7PM lec TBA
ARM 212 WLNO1,1,10,0,W 4-7PM lec TBA
ARM 213 FLNO1,1,11,0,F 4-7PM lec TBA
ARM 214 SCDE1,1,10,0,S 9AM-12PM lec TBA
ARTS 1 THQ-1,1,20,0,TTh 7-8:30AM lec CAL 206
ARTS 1 THQ-2,1,20,0,TTh 7-8:30AM lec CAL 305
ARTS 1 THQ-3,1,20,0,TTh 7-8:30AM lec CAL 207
ARTS 1 THR-1,1,25,0,TTh 8:30-10AM lec CAL 207
ARTS 1 THR-2,1,21,0,TTh 8:30-10AM lec CAL 202
ARTS 1 THR-3,1,20,0,TTh 8:30-10AM lec CAL 301
ARTS 1 THR-4,1,20,0,TTh 8:30-10AM lec CAL 306
ARTS 1 THR-5,1,20,0,TTh 8:30-10AM lec CAL 305
ARTS 1 THU-1,1,25,0,TTh 10-11:30AM lec CAL 207
ARTS 1 THU-2,1,20,0,TTh 10-11:30AM lec CAL 301
ARTS 1 THU-3,1,20,0,TTh 10-11:30AM lec CAL 305
ARTS 1 THU-4,1,20,0,TTh 10-11:30AM lec CAL 306
ARTS 1 THU-5,1,25,0,TTh 10-11:30AM lec CAL 302
ARTS 1 THU-6,1,20,0,TTh 10-11:30AM lec CAL 202
ARTS 1 THU-7,1,20,0,TTh 10-11:30AM lec CAL 206
ARTS 1 THV-1,1,20,0,TTh 11:30AM-1PM lec CAL 305
ARTS 1 THV-2,1,20,0,TTh 11:30AM-1PM lec CAL 202
ARTS 1 THV-3,1,20,0,TTh 11:30AM-1PM lec CAL 206
ARTS 1 THV-4,1,20,0,TTh 11:30AM-1PM lec CAL 306
ARTS 1 THV-5,1,21,0,TTh 11:30AM-1PM lec CAL 302
ARTS 1 THV-6,1,20,0,TTh 11:30AM-1PM lec CAL 207
ARTS 1 THW-1,1,21,0,TTh 1-2:30PM lec CAL 202
ARTS 1 THW-2,1,21,0,TTh 1-2:30PM lec CAL 302
ARTS 1 THW-3,1,16,0,TTh 1-2:30PM lec TBA
ARTS 1 THW-4,1,25,0,TTh 1-2:30PM lec CAL 301
ARTS 1 THW-5,1,25,0,TTh 1-2:30PM lec CAL 305
ARTS 1 THW-6,1,21,0,TTh 1-2:30PM lec CAL 306
ARTS 1 THW-7,1,20,0,TTh 1-2:30PM lec CAL 207
ARTS 1 THX-1,1,21,0,TTh 2:30-4PM lec CAL 202
ARTS 1 THX-2,1,20,0,TTh 2:30-4PM lec CAL 302
ARTS 1 THX-3,1,21,0,TTh 2:30-4PM lec CAL 305
ARTS 1 THX-4,1,20,0,TTh 2:30-4PM lec CAL 306
ARTS 1 THX-5,1,25,0,TTh 2:30-4PM lec CAL 207
ARTS 1 THY-1,1,21,0,TTh 4-5:30PM lec CAL 202
ARTS 1 THY-2,1,25,0,TTh 4-5:30PM lec CAL 302
ARTS 1 THY-3,1,20,0,TTh 4-5:30PM lec CAL 305
ARTS 1 THY-4,1,20,0,TTh 4-5:30PM lec CAL 306
ARTS 1 THZ-1,1,25,0,TTh 5:30-7PM lec CAL 302
ARTS 1 THZ-2,1,21,0,TTh 5:30-7PM lec CAL 202
ARTS 1 WFQ-1,1,20,0,WF 7-8:30AM lec CAL 302
ARTS 1 WFQ-2,1,20,0,WF 7-8:30AM lec CAL 306
ARTS 1 WFQ-3,1,20,0,WF 7-8:30AM lec CAL 206
ARTS 1 WFQ-4,1,20,0,WF 7-8:30AM lec CAL 305
ARTS 1 WFQ-5,1,20,0,WF 7-8:30AM lec CAL 202
ARTS 1 WFQ-6,1,20,0,WF 7-8:30AM lec CAL 207
ARTS 1 WFR-1,1,20,0,WF 8:30-10AM lec CAL 302
ARTS 1 WFR-2,1,20,0,WF 8:30-10AM lec CAL 306
ARTS 1 WFR-3,1,21,0,WF 8:30-10AM lec CAL 206
ARTS 1 WFR-4,1,20,0,WF 8:30-10AM lec CAL 305
ARTS 1 WFR-5,1,20,0,WF 8:30-10AM lec CAL 202
ARTS 1 WFR-6,1,20,0,WF 8:30-10AM lec CAL 207
ARTS 1 WFU-1,1,21,0,WF 10-11:30AM lec CAL 202
ARTS 1 WFU-2,1,20,0,WF 10-11:30AM lec CAL 305
ARTS 1 WFU-3,1,20,0,WF 10-11:30AM lec CAL 206
ARTS 1 WFU-4,1,25,0,WF 10-11:30AM lec CAL 306
ARTS 1 WFV-1,1,20,0,WF 11:30AM-1PM lec CAL 202
ARTS 1 WFV-2,1,20,0,WF 11:30AM-1PM lec CAL 301
ARTS 1 WFV-3,1,20,0,WF 11:30AM-1PM lec CAL 306
ARTS 1 WFV-5,1,21,0,WF 11:30AM-1PM lec CAL 302
ARTS 1 WFW-1,1,20,0,WF 1-2:30PM lec CAL 202
ARTS 1 WFW-2,1,16,0,WF 1-2:30PM lec TBA
ARTS 1 WFW-3,1,22,0,WF 1-2:30PM lec CAL 305
ARTS 1 WFW-4,1,21,0,WF 1-2:30PM lec CAL 306
ARTS 1 WFW-6,1,20,0,WF 1-2:30PM lec CAL 207
ARTS 1 WFX-1,1,21,0,WF 2:30-4PM lec CAL 305
ARTS 1 WFX-2,1,20,0,WF 2:30-4PM lec CAL 306
ARTS 1 WFX-3,1,21,0,WF 2:30-4PM lec CAL 302
ARTS 1 WFX-4,1,20,0,WF 2:30-4PM lec CAL 206
ARTS 1 WFY-1,1,20,0,WF 4-5:30PM lec CAL 306
ARTS 1 WFY-2,1,20,0,WF 4-5:30PM lec CAL 302
ARTS 1 WFY-4,1,21,0,WF 4-5:30PM lec CAL 202
