Class Name,Class Type,Available,Demand,Schedule
EEE 121 FWRU,784,32,104,F 8:30-10:30AM lec EEEI 308; W 8:30-11:30AM lab EEEI 204
EEE 121 FWVW,784,32,92,F 11:30AM-1:30PM lec EEEI 308; W 11:30AM-2:30PM lab EEEI 204
EEE 121 HTVW,784,32,66,Th 11:30AM-1:30PM lec EEEI 308; T 11:30AM-2:30PM lab EEEI 204
EEE 121 MABMXY,784,32,108,M 7-9AM lec EEEI 308; M 2:30-5:30PM lab EEEI 204
EEE 121 SABSCDE,784,32,68,S 7-9AM lec EEEI 308; S 9AM-12PM lab EEEI 204
EEE 121 SMVW,784,32,117,S 11:30AM-1:30PM lec EEEI 308; M 11:30AM-2:30PM lab EEEI 204
EEE 121 TABHQR,784,32,90,T 7-9AM lec EEEI 308; Th 7-10AM lab EEEI 204
EEE 121 TDEHUV,784,32,87,T 10AM-12PM lec EEEI 308; Th 10AM-1PM lab EEEI 204
EEE 121 TIJHWX,784,32,81,T 1-3PM lec EEEI 308; Th 1-4PM lab EEEI 204
EEE 121 WABFQR,784,32,116,W 7-9AM lec EEEI 308; F 7-10AM lab EEEI 204
EEE 121 WDEFUV,784,32,79,W 10AM-12PM lec EEEI 308; F 10AM-1PM lab EEEI 204
EEE 121 WIJFWX,784,32,98,W 1-3PM lec EEEI 308; F 1-4PM lab EEEI 204
EEE 128 FUV,786,20,69,F 10AM-1PM lab EEEI 305
EEE 128 FWX,786,20,58,F 1-4PM lab EEEI 305
EEE 128 FYZ,786,20,49,F 4-7PM lab EEEI 301
EEE 128 HUV,786,20,62,Th 10AM-1PM lab EEEI 305
EEE 128 HWX,786,20,49,Th 1-4PM lab EEEI 305
EEE 128 HYZ,786,20,59,Th 4-7PM lab EEEI 301
EEE 128 MUV,786,20,60,M 10AM-1PM lab EEEI 305
EEE 128 MYZ1,786,20,66,M 4-7PM lab EEEI 305
EEE 128 MYZ2,786,20,67,M 4-7PM lab EEEI 301
EEE 128 SCDE,786,20,59,S 9AM-12PM lab EEEI 228
EEE 128 SVW,786,20,65,S 11:30AM-2:30PM lab EEEI 126
EEE 128 SWX,786,20,66,S 1-4PM lab EEEI 228
EEE 128 SYZ,786,20,60,S 4-7PM lab EEEI 301
EEE 128 TUV,786,20,62,T 10AM-1PM lab EEEI 305
EEE 128 TWX,786,20,66,T 1-4PM lab EEEI 305
EEE 128 TYZ,786,20,68,T 4-7PM lab EEEI 305
EEE 128 WUV,786,20,52,W 10AM-1PM lab EEEI 305
EEE 128 WWX,786,20,71,W 1-4PM lab EEEI 305
Math 22 TWHFQ,1724,20,57,WF 7:15-8:15AM lec MB 301; TTh 7:15-8:15AM lec TBA
Math 22 TWHFQ-1,1724,20,67,WF 7:15-8:15AM lec MB 302; TTh 7:15-8:15AM lec TBA
Math 22 TWHFQ-2,1724,20,55,WF 7:15-8:15AM lec MB 303; TTh 7:15-8:15AM lec TBA
Math 22 TWHFQ-3,1724,20,81,WF 7:15-8:15AM lec MB 304; TTh 7:15-8:15AM lec TBA
Math 22 TWHFQ-4,1724,20,53,WF 7:15-8:15AM lec MB 305; TTh 7:15-8:15AM lec TBA
Math 22 TWHFQ-5,1724,20,63,WF 7:15-8:15AM lec MB 306; TTh 7:15-8:15AM lec TBA
Math 22 TWHFQ-6,1724,20,58,WF 7:15-8:15AM lec MB 307; TTh 7:15-8:15AM lec TBA
Math 22 TWHFQ-7,1724,19,60,WF 7:15-8:15AM lec MB 308; TTh 7:15-8:15AM lec TBA
Math 22 TWHFR,1724,19,48,WF 8:45-9:45AM lec MB 301; TTh 8:45-9:45AM lec TBA
